NO ,PIMPINAN WILAYAH,LINK INSTAGRAM,LINK WEBSITE,KET,RTL SEPT (VIDEO),RTL SEPT (BERITA),RTL OKT (VIDEO),RTL OKT (BERITA),RTL NOV (VIDEO),RTL NOV (BERITA),RTL DES (VIDEO),RTL DES (BERITA)
29,Pimpinan Wilayah Muhammadiyah Riau,https://www.instagram.com/pwm_riau?igsh=MXNndDBjbGs3dHM3NA==,https://www.pwmriau.or.id/,,8,2,6,1,6,14,,
31,Pimpinan Wilayah Muhammadiyah Sulawesi Selatan ,https://www.instagram.com/muhammadiyahsulsel?igsh=MXZiczB4emJvMGdhZw==,tidak ditemukan,,3,2,4,2,9,10,,
32,Pimpinan Wilayah Muhammadiyah Sulawesi Tengah,https://www.instagram.com/pwmsulteng?igsh=Mnhlbzd5eXdxMDh6,tidak ditemukan,,0,2,0,0,0,0,,
34,Pimpinan Wilayah Muhammadiyah Sulawesi Utara,tidak ditemukan,tidak ditemukan,,0,2,0,3,-,6,,
42,Universitas Muhammadiyah Parepare,https://www.instagram.com/umpar.official?igsh=a3h0dm9ueGhsenZv,http://umpar.ac.id/,,1,2,2,8,0,8,,
47,Pimpinan Wilayah Aisyiyah Sulawesi Barat ,https://www.instagram.com/aisyiyahsulbar?igsh=MWpkbHR6OG5hYzF0cQ==,https://sulbar.aisyiyah.or.id/,terakhir update 2024,1,1,2,1,0,0,,
38,Pimpinan Wilayah Aisyiyah Sulawesi Selatan ,https://www.instagram.com/aisyiyah.sulsel?igsh=MTBwNmV3Z3Zudjh0dQ==,https://sulsel.aisyiyah.or.id/,,0,1,0,,0,0,,
23,Pimpinan Wilayah Muhammadiyah Nusa Tenggara Timur ,https://www.instagram.com/pwm.ntt?igsh=MTZrbGc4MWpxNTIzdw==,tidak ditemukan,,0,1,4,3,0,13,,
27,Pimpinan Wilayah Muhammadiyah Papua Selatan ,tidak ditemukan,tidak ditemukan,,0,1,0,0,0,0,,
30,Pimpinan Wilayah Muhammadiyah Sulawesi Barat ,https://www.instagram.com/pwm.sulbar?igsh=YmRhcHhkZXljNGY5,https://sulbar.muhammadiyah.or.id/,Web tidak bisa diakses,0,1,0,0,0,2,,
33,Pimpinan Wilayah Muhammadiyah Sulawesi Tenggara,https://www.instagram.com/muhammadiyah_sultra?igsh=NGVnOGlnMWNib28z,tidak ditemukan,,0,1,0,1,7,7,,
36,Pimpinan Wilayah Muhammadiyah Sumatera Selatan,https://www.instagram.com/pwm.sumsel?igsh=dDA5enRweTJrMW5m,tidak ditemukan,,0,1,0,3,0,1,,
37,Pimpinan Wilayah Muhammadiyah Sumatera Utara,https://www.instagram.com/pwm_sumut?igsh=aGk4dmdlcWw3bGo5,https://infomu.co/,,4,1,2,2,3,4,,
49,Universitas Muhammadiyah Kendari,https://www.instagram.com/umkendari_?igsh=MWp1dGZxanY5eXN6cg==,https://umkendari.ac.id/,banyak berita negatif ,6,1,9,1,1,8,,
48,Pimpinan Wilayah Aisyiyah Sulawesi Tengah ,https://www.instagram.com/pwnasyiah.sulteng?igsh=YzY0dTlhOWYzY2d4,tidak ditemukan,,0,0,0,0,0,0,,
28,Pimpinan Wilayah Muhammadiyah Papua Tengah ,tidak ditemukan,tidak ditemukan,,0,0,0,0,0,0,,
39,Universitas Muhammadiyah Makassar,https://www.instagram.com/official.unismuh?igsh=MWRxZ3BoMWZoNWM5MQ==,https://news.unismuh.ac.id/,,1,2,1,51,3,53,,
40,LPCRPM PPM,https://www.instagram.com/lpcr.muhammadiyah?igsh=ZDNlZDc0MzIxNw==,https://lpcr.or.id/,,,,,,,,,
